State,FIPS,DSCI,date
CA,06047,0,2004-01-27
CA,06047,0,2004-02-03
CA,06047,0,2004-02-10
CA,06047,0,2004-02-17
CA,06047,0,2004-02-24
CA,06047,0,2004-03-02
CA,06047,0,2004-03-09
CA,06047,0,2004-03-16
CA,06047,0,2004-03-23
CA,06047,0,2004-03-30
CA,06047,0,2004-04-06
CA,06047,100,2004-04-13
CA,06047,100,2004-04-20
CA,06047,100,2004-04-27
CA,06047,100,2004-05-04
CA,06047,100,2004-05-11
CA,06047,100,2004-05-18
CA,06047,100,2004-05-25
CA,06047,100,2004-06-01
CA,06047,100,2004-06-08
CA,06047,100,2004-06-15
CA,06047,100,2004-06-22
CA,06047,100,2004-06-29
CA,06047,100,2004-07-06
CA,06047,100,2004-07-13
CA,06047,100,2004-07-20
CA,06047,100,2004-07-27
CA,06047,100,2004-08-03
CA,06047,100,2004-08-10
CA,06047,100,2004-08-17
CA,06047,100,2004-08-24
CA,06047,100,2004-08-31
CA,06047,100,2004-09-07
CA,06047,100,2004-09-14
CA,06047,100,2004-09-21
CA,06047,100,2004-09-28
CA,06047,100,2004-10-05
CA,06047,100,2004-10-12
CA,06047,100,2004-10-19
CA,06047,100,2004-10-26
CA,06047,100,2004-11-02
CA,06047,100,2004-11-09
CA,06047,100,2004-11-16
CA,06047,100,2004-11-23
CA,06047,100,2004-11-30
CA,06047,100,2004-12-07
CA,06047,99,2004-12-14
CA,06047,99,2004-12-21
CA,06047,89,2004-12-28
CA,06047,0,2005-01-04
CA,06047,0,2005-01-11
CA,06047,0,2005-01-18
CA,06047,0,2005-01-25
CA,06047,0,2005-02-01
CA,06047,0,2005-02-08
CA,06047,0,2005-02-15
CA,06047,0,2005-02-22
CA,06047,0,2005-03-01
CA,06047,0,2005-03-08
CA,06047,0,2005-03-15
CA,06047,0,2005-03-22
CA,06047,0,2005-03-29
CA,06047,0,2005-04-05
CA,06047,0,2005-04-12
CA,06047,0,2005-04-19
CA,06047,0,2005-04-26
CA,06047,0,2005-05-03
CA,06047,0,2005-05-10
CA,06047,0,2005-05-17
CA,06047,0,2005-05-24
CA,06047,0,2005-05-31
CA,06047,0,2005-06-07
CA,06047,0,2005-06-14
CA,06047,0,2005-06-21
CA,06047,0,2005-06-28
CA,06047,0,2005-07-05
CA,06047,0,2005-07-12
CA,06047,0,2005-07-19
CA,06047,0,2005-07-26
CA,06047,0,2005-08-02
CA,06047,0,2005-08-09
CA,06047,0,2005-08-16
CA,06047,0,2005-08-23
CA,06047,0,2005-08-30
